Date,Open,High,Low,Close,Volume,Adj Close,Symbol
2012-02-14,191.759995,192.600006,190.830002,192.220001,3398100,168.210615,IBM
2012-02-15,192.309998,193.440002,191.259995,192.25,4020900,168.236867,IBM
2012-02-16,192.610001,193.25,192.0,193.020004,3525500,168.91069299999998,IBM
2012-02-17,193.71000700000002,193.860001,192.300003,193.419998,3746500,169.260725,IBM
2012-02-21,193.729996,194.240005,192.46000700000002,193.389999,3293600,169.234474,IBM
2012-02-22,193.029999,194.740005,192.75,193.869995,3275800,169.654515,IBM
2012-02-23,193.869995,199.229996,193.279999,197.610001,8032700,172.927372,IBM
2012-02-24,198.380005,198.559998,196.610001,197.759995,3353200,173.05863100000002,IBM
2012-02-27,196.779999,198.71000700000002,196.100006,197.529999,3758400,172.857363,IBM
2012-02-28,197.75,198.96000700000002,197.429993,197.979996,3167400,173.25115300000002,IBM
2012-02-29,197.860001,199.169998,196.449997,196.729996,5117100,172.157285,IBM
2012-03-01,197.229996,198.470001,196.929993,197.529999,3560300,172.857363,IBM
2012-03-02,197.100006,198.889999,197.059998,198.809998,3727400,173.977483,IBM
2012-03-05,198.360001,201.190002,198.300003,200.66000400000001,6938000,175.59641200000002,IBM
2012-03-06,199.139999,199.639999,196.809998,197.259995,5214700,172.621084,IBM
2012-03-07,198.08999599999999,198.570007,197.309998,197.770004,3346900,173.067391,IBM
2012-03-08,199.240005,199.990005,198.649994,199.809998,3145800,174.852577,IBM
2012-03-09,199.979996,201.100006,199.720001,200.619995,3178200,175.561401,IBM
2012-03-12,200.929993,201.570007,200.229996,201.0,3119700,175.89394099999998,IBM
2012-03-13,201.720001,203.899994,201.610001,203.779999,4866000,178.326702,IBM
2012-03-14,203.779999,205.149994,203.639999,204.720001,4602300,179.149293,IBM
2012-03-15,204.940002,206.179993,204.740005,206.0,3621100,180.26941200000002,IBM
2012-03-16,207.029999,207.520004,206.009995,206.009995,9637000,180.27815900000002,IBM
2012-03-19,205.71000700000002,206.529999,204.5,205.720001,3763200,180.02438700000002,IBM
2012-03-20,204.740005,205.0,203.699997,204.25,3695100,178.737997,IBM
2012-03-21,204.320007,205.770004,204.300003,204.690002,3329900,179.123041,IBM
2012-03-22,204.0,205.990005,203.96000700000002,205.490005,3307800,179.823119,IBM
2012-03-23,205.889999,205.96000700000002,204.559998,205.479996,3036200,179.81436000000002,IBM
2012-03-26,206.449997,207.919998,206.320007,207.770004,3418200,181.818333,IBM
2012-03-27,208.46000700000002,208.66000400000001,207.0,207.179993,2704500,181.302017,IBM
2012-03-28,207.440002,208.690002,206.270004,207.28999299999998,3265700,181.398278,IBM
2012-03-29,206.08999599999999,208.5,206.020004,208.270004,3403700,182.25588,IBM
2012-03-30,208.740005,209.119995,208.009995,208.649994,3215200,182.58840700000002,IBM
2012-04-02,208.96000700000002,209.690002,208.08999599999999,209.470001,3387900,183.30598999999998,IBM
2012-04-03,209.309998,210.690002,208.53999299999998,209.5,4091500,183.33224199999998,IBM
2012-04-04,206.220001,206.979996,205.190002,206.050003,4404000,180.31316999999999,IBM
2012-04-05,205.149994,205.679993,204.46000700000002,205.470001,3809000,179.805614,IBM
2012-04-09,204.399994,206.169998,203.369995,204.940002,3326900,179.341815,IBM
2012-04-10,204.940002,205.740005,202.169998,202.330002,4132900,177.057818,IBM
2012-04-11,203.990005,204.320007,202.46000700000002,202.580002,3366200,177.276592,IBM
2012-04-12,202.800003,205.559998,202.639999,205.320007,2929600,179.674355,IBM
2012-04-13,204.320007,204.649994,202.800003,202.800003,3767000,177.469114,IBM
2012-04-16,204.740005,205.970001,202.720001,202.720001,3826600,177.399104,IBM
2012-04-17,204.570007,207.639999,204.149994,207.449997,6065500,181.538296,IBM
2012-04-18,202.429993,204.070007,200.0,200.130005,10153500,175.132614,IBM
2012-04-19,200.029999,201.259995,197.520004,199.509995,5762900,174.590046,IBM
